text,label
@Samuel Hernandez what you doing about it to stop it?,0
“That would be just pure mean” aw love this kiddo she made my day <3,0
The future is Africans shoving down a bitter pill of change in the dry throat of white supremacies that have refused to learn from the past it created,0
EliasTTA She’s literally wrong .... her idea that homosexuality is something she’s against is literally discriminatory,0
She is so PATHETIC!,0
Kids meet marina Taylor please please please please please please,0
Thats right all lives do matter period and if you think that it's not then shame on you ALL LIFE MATTERS PERIOD!!!!!! ONE LOVE TO ALL HUMANS,1
@Michael Paysour wow thats rude,0
@Dus Bus Still this slogan sound rasist. No one cares what do you have on your mind by saying this. The main thing how does it sounds. What if I gonna stand in front of group of black people somewhere in dark street and start to shout out loud white lives matters. More likely I gonna be killed.,0
The current and former representatives of my home state of Arizona are always painting an ugly picture to the rest of the country. It's a shame.,0
A movement to fight racism,0
BBC Censored and clearly you don’t understand the struggle of other community’s,0
Sourav Kumar RoyChowdhury Comunism is a joke,0
@Tyrone Marcus I'm sorry you're so brainwashed and threatened by people whose lives have absolutely no affect on your own. Mind your business and stop worrying about how other people live. If anything is of the devil it's hatred and you're full of it.,0
The girl who said she doesnt agree with homosexuality is a lesbian  Look at her and tell me she doesnt look like a 12 year old boy,0
Truly said.. That what I was waiting for. To let the world realize about girls and engineering.,1
Annie. You’re closeted. It’s ok I’ve been there. We’re here for you when you’re ready.,0
Right in the feels,0
@Maggie Paul my heart is not full hatred ibam not a racist person I am black my self the naacp is honestly not need anymore it ain't the Jim crow era black were truly oppressed black peot are not the only racial or ethnic group that experience d disadvantages  all live matter want to figh for that basic human right that no human being should experience racism and discrimination or should be killed for who the r we come together as humans and fight for all human being who suffered from these issues not juts black people.,1
How do I get this thing to stop emailing me and making my phone beep after every reply lmao,0
Your family sounds amazing! I hope your dreams come true!,1
Big Pete historical revisionism.,0
Jessica Walker it’s a joke sweety,0
I agree with you you could have not said it any better,0
Just saying this,0
The most important thing in the bible is to love,1
@Aaliyah Yusuf Have you ever heard about South Africa?,0
It’s honestly not even a battle between white vs black people. It’s a battle between racists and people.,1
All lives matter!! What is this? Lol,0
@James Johnson HAHA good mangina comeback. women got banned from getting education.... so were most men. What's your point? And why do you talk about history? We live at this moment. Women are the majority of degree receipients in Associates,1
@SamAnimations! a bit too optimistic let's say 1/2,0
K A mabey but  being stereotypical is kinda bad,0
Yes plastic surgery,0
My family and I bought two of the Goldieblox books for my niece as a birthday present. When we opened them up and began reading her the stories and helping / showing her how to build things with the construction toys,0
@Beautiful World I was born and raised in the USA.  I honor and respect it.  I have heard how it is like in other countries.  People come here for a reason and then they try to change it.  I don't understand it.  If you don't like it here.  Please go back to where you came from.  I mean this in a kind way.,0
I love how these kids,0
black lives only matter on election years. Remember that,0
@Alexander Schüler Why not include everyone?Isnt ONLY saying black lives matter only including 1 race,0
Why did god make homosexuality uncontrollable?,0
+DawnOfTheDead991 In fact yes I am okay with that cause right now we got Neo Confederate shitstains dividing this Nation with hate and ignorance.  And Police who are completely unaccountable for their actions.  Go save the whales all you want hipster.  I'm more concerned with my fellow American Citizens,0
@connie schuiling I suggest you stop making things up.,0
Jesus Christ Donnie Inzodda your commenting way too much,0
Ya'll are saying God wants us to love everyone. Get the love that God wants you to use straight. Different types of love are used. Loving someone with the same gender isn't love but lust.,0
ALL LIVES MATTER! If you feel as if you deserve more well get up off your b---! Put your guns down stop killing and robbing,1
Is she a bullfighter?,0
There's always a way out and Madonna is just changing the world for the better!,1
Blm thinks that black live matter more than everyone else's,0
@River Rower how?  She actually revolutionized music.  So I don't get why you are here?  If you don't like her than fine.  We all have a right to our own opinion.  But I just don't get people who watch interviews with celebrities on the net when it is clear they don't like them?  Why watch someone if you really don't want to?  I mean no one is forcing you to watch this.🤔,0
All lives matter even little.  EVEN LITTLE ABORTED BABIES THAT HAVE BEEN KIILLED ALL LIVES MATTER EVEN THE BABIES AN CHILDERN WHO HAVE BEEN KILLED BY THEIR PARTENTS AN CHILD MOSLESTERS AN SO ON .  ALL LIVES MATTER TO GOD TOO AN THAT MEANS ALL LIVES,1
It should be all lives matter,1
It istn about,0
Ben Lambe it does exist. I’m going to assume you’re white but please correct me if I’m wrong. So let’s say you’re white,0
Saying All lives matter can be offensive for the same reason black lives matter can be offensive to some. Black Lives Matter is an offensive saying because to some  it insinuates that the majority of non blacks think that black lives don't matter and that the majority of non blacks are racist when there is absolutely no physical evidence to support that thought. So obviously to a non racist non black that is a grossly offensive notion. Now All Lives Matter can be offensive to some blacks because to them it insinuates that they only care about black lives and that they're saying other lives don't matter when if you actually try comprehend their perspective,1
ah wired. i had just subscribed to you yesterday and now I have to unsubscribe.,0
Guaranteed by law freedom,1
@James Johnson Sorry. Even though I agree with you,0
fresh air matters. you can't live without air,0
All lives matter not just black lives if wight peopol said wihgt lives matter we would be racict,0
And Aushwitz then...?Go figure.,0
@Gameplay Central No thank you.,0
A lot of our children are addicted. Meth floods the streets the dealers give it out for free like candy too get addiction started plus they dust fentanyl on pot sales to get them addicted this is driving crime. We need help all of us! We have to get drugs off the street and get help to addicts. Please let's work together!,1
@The Savage Taxman Funny that you say that,0
LETS TURN WIRED INTO A POLITICAL PROPAGANDA-CHANNEL,0
We should topple Cromwell's statue as well. He oppressed and butchered thousands of Irish people.,0
