text,label
"This: :One can make an analogy in mathematical terms by envisioning the distribution of opinions in a population as a Gaussian curve. We would then say that the consensus would be a statement that represents the range of opinions within perhaps three standard deviations of the mean opinion.  sounds arbitrary and ad hoc.  Does it really belong in n encyclopedia article?  I don't see that it adds anything useful.  The paragraph that follows seems much more useful.  Are there any political theorists out there who can clarify the issues?  It seems to me that this is an issue that Locke, Rousseau, de Toqueville, and others must have debated...  SR ",0
"`  :Clarification for you  (and Zundark's right, i should have checked the Wikipedia bugs page first).   This is a ``bug`` in the code that makes wikipedia work  it just means that there is a line of code that may have an error as small as an extra space. It's analogous (in a VERY simplified way) to trying to make something bold in HTML and forgetting to put the  at the end, so you'd see something like this:  words in bold  Instead of this:  words in bold   It's not like a virus, that is code somebody deliberately wrote in order to infect your computer and damage files, so it won't ``go around.`` JHK   `",0
Elected or Electoral? JHK,0
"`This is such a fun entry.   Devotchka  I once had a coworker from Korea and not only couldn't she tell the difference between USA-English and British English, she had trouble telling the difference between different European languages.  (Kind of keeps things in perspective, eh?) -) :Not suprising. While I can easily tell the difference between French, German, Italian, Spanish, Dutch, etc., put me in a room with a Chinese, Japanese, Korean, Vietnamese and a Thai speaker and I probably couldn't tell the difference. (If I saw it written I'd probably have somewhat more luck though.)  SJK  Vietnamese has more syllable-final consonants than Japanese, I think you can tell them apart that way, maybe. Is this right? - Juuitchan  Someone suggested: ``Heath Robinson`` and ``Rube Goldberg`` as a vocabulary difference.  It's certainly an interesting parallel, but I don't think it really belongs here.  They were both artists with their own style, and both are known on both sides of the pond although their use as descriptive adjectives is split as suggested.  At any rate, they can't quite be considered translations, because as an adjective, ``Rube Goldberg`` is more specific, describing an overly complex mechanical device or a complex series of interdependent actions; Heath Robinson, in contrast, is more surrealistic or fantasy-oriented.  LDC  As an American, I would like to say that to me a bum is a homeless person as much as the butt, a flat is an apartment, and rubbish certainly is trash. Granted, I agree that a fag is not a cigarette, and underground is not a subway. I may do some actual research, and come back and fiddle with that list. - Eean.  :I think Americans certainly understand the use of ``bum`` for ``butt``, ``rubbish`` for ``trash``, and (to a lesser degree) ``flat`` for ``apartment``.  But we don't use those terms much.  Point to a container for discarded things, and an American will say ``that's a trash can``; a Brit will say ``that's a rubbish bin``.  Americans are more likely to use ``rubbish`` in the sense of ``bullshit``. LDC  I deleted the following pair: ``limited (Ltd)`` and ``incorporated``, since they actually mean different things. ``Incorporated`` means a corporation; ``limited`` means a limited liability corporation (you can also have unlimited liability corporations, and no liability corporations). British (and Australian also) Ltd is roughly equivalent to American LLC.  SJK  I would say 'torch' was much more common than 'pocket lamp' which sounds quite old-fashioned. 'Flashlight' would be more easily recognised than the latter.  Yes, I'd call it a ``torch``, and it would probably be labeled as a ``flashlight`` in its manufacturer's packaging. IMO, 'torch' is colloquial British English  The Anome  Oh, so ``flashlight`` is correct British usage? (My dictionary said [Am.] and the Oxford English Dictionary carried ``flashlight`` only in the meaning of photography.) Then I'll remove the entry again. AxelBoldt `",0
"Please relate the ozone hole to increases in cancer, and provide figures. Otherwise, this article will be biased toward the environmentalist anti-CFC point of view instead of being neutral. Ed Poor",0
"`:In an interpreted language your source code is read in command by command by a software tool, which is called the Interpreter and executed.  What ? Command-by-command ? No interpreter is using such crappy technique nowadays. Taw  === From Interpreted Language/Talk ===   :some languages (like Perl) are compiled at runtime  Could you elaborate ? Taw  Every time a perl script is run, Perl compiles it and then runs the compiled code. At least, this is the usual way of using perl, although it's not the only way. Zundark, 2001 Dec 15  You mean compile to syntactic tree or compile to machine code ? Taw  : I believe it's compiled to bytecode, much like Java. As of perl 5.6 (version?), it's possible to produce a bytecode version of a perl program to save the compilation step. I think the bytecode can be converted back to full source as well, but I'm not as sure about that. Indigo Perl (http://www.indigoperl.com) produces a perl compiler that produces a machine executable, but I think the resulting executable consists of both the actual bytecode and enough of the perl engine to run the bytecode, so they tend to be rather large. Their advantage is being able to deploy the code to machines that don't necessarily have the Perl interpreter installed.  They have versions for both Windows and Unix-ish platforms.  Wesley  === Old Interpreted Language article ===  An interpreted language is a type of programming language that is not compiled into machine code, but is interpreted at run-time by the computer, and translated into machine understandable code as required.  It is often a mistake to refer to a language as either ``interpreted`` or ``compiled``, because most languages can be implemented in either way, and some languages (like Perl) are compiled at runtime but behave as if they were interpreted. Other languages, like Java, may be partially compiled into an intermediate form which is then interpreted (although that, too, might be compiled). Some languages, though, are specifically designed to favor interpretation.  An example of an interpreted language is JavaScript.   Is Java interpreted, or what?   The Java programming language article says:  :``The first implementations of the language used an interpreted virtual machine to achieve portability, and many implementations still do. These implementations produce programs that run more slowly than the fully-compiled programs created by the typical C++ compiler and some later Java language compilers, so the language suffered a reputation for producing slow programs. More recent implementations of the Java VM produce programs that run much faster, using multiple techniques.``   The Java language is compiled, always.  It is designed as a compiled language, and is implemented as a compiled language.  It is often compiled into bytecode, which is then interpreted (with a virtual machine).  I think the Java language article is correct, but maybe it could be worded better.  LDC  Yes, and you can also compile Jave straight down to machine code if you like. The above claim that it is a mistake to differentiate between interpreted and compiled languages is IMHO incorrect; every language that has an ``eval`` statement which lets you construct and evaluate statements on the fly can never be cleanly compiled down to machine code; you will always have to embed an interpreter in your compiled code. AxelBoldt  Way too much mess here has been caused by lack of clear definition of ``compiling``. It is used in two distinct meanings, as in: # compiled to machine code (or assembly) # compiled to byte code/parse tree/some other internal representation  I think it's wrong to call languages that use the second way ``compiled``. In such case there would be virtually no interpreted language in use - no language uses line-by-line parsing nowadays, all ``compile`` source to some form of internal representation.  Quote from FOLDOC:      Compiler       A program that converts another program      from some {source language} (or {programming language}) to      {machine language} (object code).  Some compilers output      {assembly language} which is then converted to {machine      language} by a separate {assembler}.      ...  `",0
"`   I fixed the link; I also removed ``homeopathy`` as an exampleit's not anything like a legitimate protoscience, or even half-legit.  It's total pseudoscientific nonsense, and not taken seriously as many protosciences are.  I'm willing to tolerate a sympathetic and historical treatment of it on its own page, but pages about real science shouldn't be littered with frauds.   `",0
"`If they are ``indisputable`` then why does the NOAA dispute it? Note that the NOAA is the same source used by advocates of the CFC-ozone-UV-cancer connection. Is the NOAA trustworthy only when it supports an environmentalist position, and discreditable otherwise? Your comment  not mine  betrays a political agenda, and not a scientifically informed view. Ed Poor`",0
"`- This is not ``creative``.  Those are the dictionary definitions of the terms ``insurance`` and ``ensurance`` as properly applied to ``destruction``.  If you don't understand that, fine, legitimate criticism, I'll write up ``three man cell`` and ``bounty hunter`` and then it will be easy to understand why ``ensured`` and ``insured`` are different - and why both differ from ``assured``.  The sentence you quote is absolutely neutral.  You just aren't familiar with the underlying theory of strike-back (e.g. submarines as employed in nuclear warfare) guiding the insurance, nor likely the three man cell structure that kept the IRA from being broken by the British.  If that's my fault, fine, I can fix that to explain.  But ther'es nothing ``personal`` or ``creative`` about it.  I'm tired of arguing with you.  Re: the other article, ``multi-party`` turns up plenty, and there is more use of ``mutually`` than ``mutual``.  If I were to apply your standard I'd be moving ``Mutual Assured Destruction`` to ``talk`` for not appealing to a Reagan voter's biases about its effectiveness, and for dropping the ``ly``.  There is a double standard in your edits.  If it comes from some US history book, like ``peace movement`` or 'M.A.D.' as defined in 1950, you like it, even if the definition is totally useless in 2002 and only of historical interest.    If it makes any even-obvious connection or implication from the language chosen in multiple profession-specific terms, you consider it somehow non-neutral...  Gandhi thinks ``eye for an eye`` describes riots, death penalty, and war all at once, but you don't.  What do you know that Gandhi doesn't?  Guess what:  reality is not neutral.  Current use of terms is slightly more controversial.  Neutrality requires negotiation, and some willingness to learn.  This is your problem not mine.  You may dislike the writing, fine, that can be fixed.  But disregarding fundamental axioms of philosphy with names that recur in multiple phrases, or failing to make critical distinctions like 'insurance' versus 'assurance' versus 'ensurance' (which are made in one quote by an Air Force general in an in-context quote), is just a disservice to the reader.  If someone comes here to research a topic like MAD, they want some context, beyond history.  If this is a history book, fine, it's a history book.  But that wasn't what it was claimed to be... `",0
"`   The concept of ``viral meme`` is not a mainstream academic concept, and only merits the briefest mention in an encyclopedia.  ``Meme`` is already treading on thin ground, but is at least well known enough to be semi-respectable.  ``Let's roll`` isn't a concept at allit's a phrase that has made the news recently, and it's the title of a song, both of which deserve to be covered.  ``Move zig`` is another phrase, probably meaning more or less the same thing, but it isn't worthy of inclusion here.  It isn't even a common enough idiom to be found in a dictionaryyou certainly wouldn't find it, say, in a New York Times used without reference to its source.  LDC `",0
